# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 09:21:17 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name	hostname	sy_snum	sy_pnum	discoverymethod	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	pl_rade	pl_radeerr1	pl_radeerr2	pl_radelim	pl_bmasse	pl_bmasseerr1	pl_bmasseerr2	pl_bmasselim	pl_eqt	pl_eqterr1	pl_eqterr2	pl_eqtlim	sy_dist	sy_disterr1	sy_disterr2
HAT-P-59 b	HAT-P-59	1	1	Transit	4.14197710	0.00000120	-0.00000120	0	12.588	0.146	-0.146	0	489.45575	21.29450	-21.29450	0	1278	6	-6	0	265.4710000	1.3740000	-1.3600000
HAT-P-6 b	HAT-P-6	1	1	Transit	3.85298000	0.00000500	-0.00000500	0	16.589	1.681	-1.681	0	419.53560	95.34900	-95.34900	0	1675	32	-31	0	275.3580000	3.6360000	-3.5450000
HAT-P-60 b	HAT-P-60	1	1	Transit	4.79478130	0.00000240	-0.00000240	0	18.282	0.269	-0.269	0	182.43351	12.07748	-12.07748	0	1772	12	-12	0	233.2200000	2.6870000	-2.6270000
HAT-P-61 b	HAT-P-61	1	1	Transit	1.90231289	0.00000077	-0.00000077	0	10.077	0.303	-0.303	0	335.94463	22.24799	-22.24799	0	1505	16	-16	0	338.8400000	4.1490000	-4.0510000
HAT-P-62 b	HAT-P-62	1	1	Transit	2.64532350	0.00000390	-0.00000390	0	12.027	0.325	-0.325	0	241.86742	27.96890	-27.96890	0	1512	13	-13	0	348.8150000	4.9510000	-4.8160000
HAT-P-63 b	HAT-P-63	1	1	Transit	3.37772800	0.00001300	-0.00001300	0	12.543	0.370	-0.370	0	195.14664	7.62788	-7.62788	0	1237	11	-11	0	403.4580000	3.9800000	-3.9040000
HAT-P-64 b	HAT-P-64	1	1	Transit	4.00723200	0.00000170	-0.00000170	0	19.089	0.785	-0.785	0	184.34048	57.20911	-41.31769	0	1766	22	-16	0	651.8970000	15.4130000	-14.7280000
HAT-P-65 b	HAT-P-65	1	1	Transit	2.60544751	0.00000050	-0.00000049	0	18.058	0.269	-0.269	0	176.07694	29.24021	-28.92239	0	1818	13	-13	0	738.5190000	19.9240000	-18.9220000
HAT-P-66 b	HAT-P-66	1	1	Transit	2.97208600	0.00000570	-0.00000570	0	17.822	1.793	-1.121	0	248.86089	18.11631	-18.11631	0	1896	66	-42	0	935.4560000	24.3610000	-23.1770000
HAT-P-67 b	HAT-P-67	2	1	Transit	4.81010250	0.00000043	-0.00000033	0	23.371	1.076	-0.796	0	108.06220	79.45750	-60.38770	0	1903	25	-25	0	371.6860000	3.5630000	-3.4970000
HAT-P-68 b	HAT-P-68	1	1	Transit	2.29840551	0.00000052	-0.00000052	0	12.016	0.135	-0.135	0	230.10892	13.66669	-13.66669	0	1028	8	-8	0	202.1520000	0.9530000	-0.9430000
HAT-P-69 b	HAT-P-69	1	1	Transit	4.78694910	0.00000180	-0.00000210	0	18.786	0.572	-0.370	0	1137.83140	184.34140	-184.34140	0	1930	80	-230	0	341.2630000	5.1160000	-4.9690000
HAT-P-7 b	HAT-P-7	2	1	Transit	2.20474000	0.00001700	-0.00001700	0	16.926	2.354	-2.354	0	584.80720	168.44990	-168.44990	0	2733	21	-21	0	341.0790000	2.4310000	-2.3970000
HAT-P-70 b	HAT-P-70	1	1	Transit	2.74432452	0.00000079	-0.00000068	0	20.961	1.681	-1.121	0	2154.88740			0	2562	43	-52	0	330.7390000	6.8180000	-6.5520000
HAT-P-8 b	HAT-P-8	3	1	Transit	3.07634000	0.00000400	-0.00000400	0	15.693	1.457	-1.457	0	406.82240	85.81410	-85.81410	0	1700	35	-35	0	211.5530000	1.7090000	-1.6820000
HAT-P-9 b	HAT-P-9	1	1	Transit	3.92281072	0.00000102	-0.00000102	0	15.614	0.751	-0.729	0	238.05467	20.34112	-20.02329	0	1540	32	-30	0	455.2030000	8.9680000	-8.6350000
HATS-1 b	HATS-1	1	1	Transit	3.44645900	0.00000400	-0.00000400	0	14.594	1.816	-1.098	0	589.55000	83.26800	-62.29200	0	1359	89	-59	0	283.9710000	3.7780000	-3.6820000
HATS-10 b	HATS-10	1	1	Transit	3.31284600	0.00000580	-0.00000580	0	10.862	0.684	-0.504	0	167.17858	25.74423	-25.74423	0	1407	39	-39	0	534.8890000	7.7240000	-7.5120000
HATS-11 b	HATS-11	1	1	Transit	3.61918800	0.00002800	-0.00002900	0	18.030	0.720	-0.720	0	263.79890	31.78300	-31.78300	0	1596	95	-94	0	944.6030000	32.2620000	-30.2330000
HATS-12 b	HATS-12	1	1	Transit	3.14270200	0.00005300	-0.00005300	0	7.760	0.470	-0.470	0	759.61370	27.65121	-27.65121	0	1446	47	-47	0	746.1380000		
HATS-13 b	HATS-13	1	1	Transit	3.04404990	0.00000270	-0.00000270	0	13.585	0.392	-0.392	0	172.58169	22.88376	-22.88376	0	1244	20	-20	0	421.8550000	8.5010000	-8.1770000
HATS-14 b	HATS-14	1	1	Transit	2.76676410	0.00000270	-0.00000270	0	11.646	0.359	-0.247	0	340.39593	22.24810	-22.24810	0	1276	20	-20	0	513.0110000	9.2870000	-8.9680000
HATS-15 b	HATS-15	1	1	Transit	1.74748753	0.00000094	-0.00000094	0	12.386	0.448	-0.448	0	689.69110	47.67450	-47.67450	0	1505	30	-30	0	1139.5500000	99.7000000	-85.1100000
HATS-16 b	HATS-16	1	1	Transit	2.68650200	0.00001100	-0.00001100	0	14.572	1.681	-1.681	0	1039.30410	60.38770	-60.38770	0	1592	61	-82	0	757.0440000	13.7350000	-13.2620000
HATS-17 b	HATS-17	1	1	Transit	16.25461100	0.00007300	-0.00007300	0	8.709	0.628	-0.628	0	425.25654	20.65895	-20.65895	0	814	25	-25	0	400.3310000	10.2280000	-9.7400000
HATS-18 b	HATS-18	1	1	Transit	0.83784000	0.00000047	-0.00000047	0	14.897	0.841	-0.841	0	629.14449	24.15508	-24.15508	0	2069	45	-45	0	624.3680000	16.1470000	-15.3660000
HATS-2 b	HATS-2	1	1	Transit	1.35413379	0.00000008	-0.00000008	0	12.576	0.269	-0.269	0	435.42492	50.85255	-50.85255	0	1550	29	-29	0	341.9250000	3.6740000	-3.5980000
HATS-22 b	HATS-22	1	1	Transit	4.72281240	0.00000520	-0.00000520	0	10.682	0.538	-0.325	0	870.85420	34.96130	-34.96130	0	858	24	-17	0	229.5180000	1.6120000	-1.5900000
HATS-23 b	HATS-23	1	1	Transit	2.16051560	0.00000450	-0.00000450	0	20.849	3.363	-4.484	0	467.21010	22.88376	-22.88376	0	1654	54	-54	0	639.0040000	9.6090000	-9.3340000
HATS-24 b	HATS-24	1	1	Transit	1.34849780	0.00000090	-0.00000090	0	15.637	0.639	-0.639	0	718.29580	54.03110	-54.03110	0	2166	53	-53	0	494.1820000	12.4680000	-11.8800000
HATS-25 b	HATS-25	1	1	Transit	4.29864320	0.00000450	-0.00000450	0	14.123	1.121	-1.121	0	194.82979	13.34886	-13.34886	0	1277	42	-42	0	471.1580000	9.1250000	-8.7900000
HATS-26 b	HATS-26	1	1	Transit	3.30238810	0.00000760	-0.00000760	0	19.616	2.354	-2.354	0	206.58950	24.15508	-24.15508	0	1918	61	-61	0	861.8430000	25.2180000	-23.8470000
HATS-27 b	HATS-27	1	1	Transit	4.63703800	0.00001400	-0.00001400	0	16.814	2.242	-1.233	0	168.44990	41.31790	-41.31790	0	1659	66	-46	0	816.9880000	41.0720000	-37.3810000
HATS-28 b	HATS-28	1	1	Transit	3.18107810	0.00000390	-0.00000390	0	13.384	0.785	-0.785	0	213.58176	27.65121	-27.65121	0	1253	35	-35	0	535.3830000	7.9260000	-7.7030000
HATS-29 b	HATS-29	1	1	Transit	4.60587490	0.00000630	-0.00000630	0	14.022	0.684	-0.684	0	207.54299	20.02329	-20.02329	0	1212	30	-30	0	353.8910000	4.9860000	-4.8520000
HATS-3 b	HATS-3	1	1	Transit	3.54785100	0.00000500	-0.00000500	0	15.480	0.392	-0.392	0	340.38200	43.22300	-43.22300	0	1648	24	-24	0	411.2110000	7.8960000	-7.6080000
HATS-30 b	HATS-30	2	1	Transit	3.17435160	0.00000260	-0.00000260	0	13.171	0.583	-0.583	0	224.38798	12.39537	-12.39537	0	1414	32	-32	0	342.1400000	2.9360000	-2.8880000
HATS-31 b	HATS-31	1	1	Transit	3.37796000	0.00001200	-0.00001200	0	18.383	2.466	-2.466	0	279.69040	38.13960	-38.13960	0	1823	81	-81	0	773.9740000	20.3170000	-19.3210000
HATS-32 b	HATS-32	1	1	Transit	2.81265480	0.00000550	-0.00000550	0	14.000	1.614	-1.076	0	292.40360	31.78300	-31.78300	0	1437	58	-58	0	745.1160000	17.5030000	-16.7310000
HATS-33 b	HATS-33	1	1	Transit	2.54955510	0.00000610	-0.00000610	0	13.787	1.255	-0.908	0	378.85336	16.84499	-16.84499	0	1429	38	-38	0	248.4600000	2.1640000	-2.1270000
HATS-34 b	HATS-34	1	1	Transit	2.10616070	0.00000470	-0.00000470	0	16.029	2.130	-2.130	0	299.07803	22.88376	-22.88376	0	1445	42	-42	0	508.8420000	3.8960000	-3.8960000
HATS-35 b	HATS-35	1	1	Transit	1.82099930	0.00000160	-0.00000160	0	16.410	0.773	-0.493	0	388.38826	24.79074	-24.79074	0	2037	43	-43	0	514.5550000	10.1990000	-9.8170000
HATS-36 b	HATS-36	1	1	Transit	4.17518600	0.00003300	-0.00003300	0	12.920	0.380	-0.380	0	1022.14128	19.70546	-19.70546	0	1203	25	-24	0	856.4360000	21.8740000	-20.8290000
HATS-37 A b	HATS-37 A	2	1	Transit	4.33153660	0.00000410	-0.00000410	0	6.793	0.179	-0.179	0	31.46517	13.34886	-13.34886	0	1085	16	-12	0	211.8960000	2.8030000	-2.7330000
HATS-38 b	HATS-38	1	1	Transit	4.37502100	0.00001000	-0.00001000	0	6.882	0.191	-0.191	0	23.51942	3.49613	-3.49613	0	1294	10	-10	0	343.5250000	5.1220000	-4.9760000
HATS-39 b	HATS-39	1	1	Transit	4.57763480	0.00000730	-0.00000730	0	17.598	1.345	-1.345	0	200.23290	41.31790	-41.31790	0	1645	43	-43	0	878.5210000	79.9230000	-67.7870000
HATS-4 b	HATS-4	1	1	Transit	2.51672900	0.00000200	-0.00000200	0	11.433	0.415	-0.415	0	420.47100	8.89900	-8.89900	0	1315	21	-21	0	416.4590000	2.7260000	-2.6910000
HATS-40 b	HATS-40	1	1	Transit	3.26427360	0.00000580	-0.00000580	0	17.710	1.793	-1.345	0	505.34970	76.27920	-76.27920	0	2101	69	-69	0	1342.2900000	31.8000000	-30.3900000
HATS-41 b	HATS-41	1	1	Transit	4.19364900	0.00001300	-0.00001300	0	14.908	3.251	-2.242	0	3082.95100	508.52800	-508.52800	0	1710	170	-120	0	737.6680000	14.2030000	-13.6850000
HATS-42 b	HATS-42	1	1	Transit	2.29210200	0.00000210	-0.00000210	0	15.693	2.802	-1.569	0	597.52040	47.67450	-47.67450	0	1856	105	-76	0	800.3770000	10.5330000	-10.2690000
HATS-43 b	HATS-43	1	1	Transit	4.38884970	0.00000590	-0.00000590	0	13.227	0.560	-0.560	0	82.95363	17.16282	-17.16282	0	1003	27	-27	0	362.2730000	2.2590000	-2.2320000
HATS-44 b	HATS-44	1	1	Transit	2.74390040	0.00000320	-0.00000320	0	11.960	1.401	-0.796	0	177.98480	34.96130	-34.96130	0	1161	34	-34	0	446.0350000	3.2410000	-3.1960000
HATS-45 b	HATS-45	1	1	Transit	4.18762440	0.00000560	-0.00000560	0	14.415	1.042	-1.042	0	222.48100	47.67450	-47.67450	0	1518	45	-45	0	772.1100000	11.3030000	-10.9870000
HATS-46 b	HATS-46	1	1	Transit	4.74237290	0.00000490	-0.00000490	0	10.122	0.650	-0.504	0	54.98459	19.70546	-19.70546	0	1054	29	-29	0	453.8080000	3.9270000	-3.8610000
HATS-47 b	HATS-47	1	1	Transit	3.92280380	0.00000220	-0.00000220	0	12.520	0.157	-0.157	0	117.27927	9.85273	-6.67443	0	853	5	-5	0	300.6700000	3.8530000	-3.7590000
HATS-48 A b	HATS-48 A	2	1	Transit	3.13166660	0.00000370	-0.00000370	0	8.967	0.168	-0.168	0	77.23269	6.99226	-9.53490	0	955	5	-5	0	263.6090000	1.6690000	-1.6490000
HATS-49 b	HATS-49	1	1	Transit	4.14804670	0.00000370	-0.00000370	0	8.575	0.146	-0.146	0	112.19399	12.07754	-8.58141	0	835	4	-4	0	324.4130000	2.3870000	-2.3530000
HATS-5 b	HATS-5	1	1	Transit	4.76338700	0.00001000	-0.00001000	0	10.223	0.280	-0.280	0	75.32300	3.81400	-3.91400	0	1025	17	-17	0	246.3840000	1.7420000	-1.7190000
HATS-50 b	HATS-50	1	1	Transit	3.82970150	0.00000460	-0.00000460	0	12.666	0.841	-0.841	0	123.95370	31.78300	-31.78300	0					756.7420000	16.9780000	-16.2610000
HATS-51 b	HATS-51	1	1	Transit	3.34887020	0.00000390	-0.00000390	0	15.805	2.130	-2.130	0	244.09344	14.30235	-14.30235	0	1553	92	-92	0	389.5700000	3.9490000	-3.8720000
HATS-52 b	HATS-52	1	1	Transit	1.36665436	0.00000094	-0.00000094	0	15.491	0.964	-0.964	0	711.93920	47.67450	-47.67450	0	1834	73	-73	0	555.1340000	6.0570000	-6.0570000
HATS-53 b	HATS-53	1	1	Transit	3.85377680	0.00000380	-0.00000380	0	15.020	0.628	-0.628	0	189.10885	28.28687	-28.28687	0	1312	25	-25	0	585.7700000	8.5010000	-8.2650000
HATS-54 b	HATS-54	1	1	Transit	2.54417650	0.00000240	-0.00000240	0	11.377	0.269	-0.269	0	239.32479	18.11622	-18.11622	0	1429	24	-24	0	748.5850000	22.6650000	-21.3920000
HATS-55 b	HATS-55	1	1	Transit	4.20420010	0.00000330	-0.00000330	0	14.022	0.291	-0.291	0	292.72143	24.15508	-24.15508	0	1367	10	-10	0	609.8380000	6.0990000	-5.9820000
HATS-56 b	HATS-56	1	1	Transit	4.32479900	0.00002700	-0.00002700	0	18.921	0.437	-0.616	0	191.33366	11.12405	-11.12405	0	1902	16	-16	0	564.4090000	11.5130000	-11.0700000
HATS-57 b	HATS-57	1	1	Transit	2.35062100	0.00000130	-0.00000130	0	12.767	0.314	-0.314	0	1000.21101	23.20159	-23.20159	0	1413	10	-10	0	279.4850000	3.1180000	-3.0500000
HATS-58 A b	HATS-58 A	2	1	Transit	4.21808960	0.00000890	-0.00000890	0	12.274	0.695	-0.695	0	327.36490	73.10090	-73.10090	0	1721	34	-34	0	403.5910000		
HATS-59 b	HATS-59	1	2	Transit	5.41608100	0.00001600	-0.00001600	0	12.621	0.863	-0.863	0	256.17098	21.93027	-21.93027	0	1128	40	-40	0	642.8840000	13.9400000	-13.3710000
HATS-59 c	HATS-59	1	2	Radial Velocity	1422.00000000	14.00000000	-14.00000000	0	12.300			0	4036.44100	276.51210	-276.51210	0	176	6	-6	0	642.8840000	13.9400000	-13.3710000
HATS-6 b	HATS-6	1	1	Transit	3.32527250	0.00000210	-0.00000210	0	11.187	0.213	-0.213	0	101.38777	22.24810	-22.24810	0	713	5	-5	0	169.3180000	1.0650000	-1.0510000
HATS-60 b	HATS-60	1	1	Transit	3.56082900	0.00003200	-0.00003200	0	12.924	0.594	-0.594	0	210.40346	17.48065	-17.48065	0	1528	11	-11	0	486.4740000	8.5840000	-8.2960000
HATS-61 b	HATS-61	1	1	Transit	7.81795300	0.00002400	-0.00002400	0	13.395	0.751	-0.751	0	1080.62200	44.49620	-44.49620	0	1226	7	-7	0	679.7610000	8.7320000	-8.5180000
HATS-62 b	HATS-62	1	1	Transit	3.27688370	0.00000330	-0.00000330	0	11.825	0.280	-0.280	0	56.89157			0	1237	12	-12	0	523.0670000	10.4260000	-10.0330000
HATS-63 b	HATS-63	1	1	Transit	3.05665270	0.00000490	-0.00000490	0	13.529	0.437	-0.437	0	305.11680	38.13960	-38.13960	0	1398	9	-9	0	623.2320000	6.0920000	-5.9770000
HATS-64 b	HATS-64	1	1	Transit	4.90889700	0.00001300	-0.00001300	0	18.820	0.908	-0.908	0	305.11680	63.56600	-63.56600	0	1793	27	-27	0	1080.1500000	42.2500000	-39.2400000
HATS-65 b	HATS-65	2	1	Transit	3.10516100	0.00000160	-0.00000160	0	16.825	0.560	-0.560	0	260.93843	26.37989	-26.37989	0	1634	18	-18	0	493.3200000	12.6190000	-12.0150000
HATS-66 b	HATS-66	1	1	Transit	3.14143910	0.00000740	-0.00000740	0	15.816	0.942	-0.942	0	1694.03390	216.12440	-216.12440	0	1998	21	-21	0	1477.9800000	36.6000000	-34.9000000
HATS-67 b	HATS-67	1	1	Transit	1.60917880	0.00000400	-0.00000400	0	18.887	0.527	-0.527	0	460.85350	38.13960	-38.13960	0	2193	22	-22	0	960.1090000	24.0250000	-22.9000000
HATS-68 b	HATS-68	1	1	Transit	3.58622020	0.00000470	-0.00000470	0	13.809	0.437	-0.325	0	410.00070	18.75197	-18.75197	0	1741	12	-12	0	603.9550000	10.3710000	-10.0340000
HATS-69 b	HATS-69	1	1	Transit	2.22525770	0.00000190	-0.00000190	0	10.593	0.247	-0.247	0	183.38791			0	1296	7	-7	0	414.5370000	3.5450000	-3.4870000
HATS-7 b	HATS-7	1	1	Transit	3.18531500	0.00000540	-0.00000540	0	6.311	0.516	-0.381	0	38.13960	3.81396	-3.81396	0	1084	32	-32	0	240.7070000	1.6490000	-1.6280000
HATS-70 b	HATS-70	1	1	Transit	1.88823780	0.00000150	-0.00000150	0	15.513	0.886	-0.829	0	4100.00700	572.09400	-508.52800	0	2730	140	-160	0	1458.8300000	68.6000000	-62.8100000
HATS-71 b	HATS-71	1	1	Transit	3.79552020	0.00000100	-0.00000100	0	11.478	0.202	-0.202	0	117.59710	76.27920	-76.27920	0	587	2	-2	0	140.2250000	0.8650000	-0.8550000
HATS-72 b	HATS-72	1	1	Transit	7.32794740	0.00000160	-0.00000160	0	8.097	0.036	-0.036	0	39.85588	1.23954	-1.23954	0	739	2	-2	0	127.5890000	0.6140000	-0.6090000
HATS-74 A b	HATS-74 A	2	1	Transit	1.73185606	0.00000055	-0.00000055	0	11.568	0.235	-0.235	0	464.02947	44.49598	-44.49598	0	895	6	-6	0	299.3890000	7.1880000	-6.8650000
HATS-75 b	HATS-75	1	1	Transit	2.78865560	0.00000110	-0.00000110	0	9.909	0.146	-0.146	0	156.05375	12.39531	-12.39531	0	772	2	-2	0	194.9640000	1.1250000	-1.1110000
HATS-76 b	HATS-76	1	1	Transit	1.94164230	0.00000140	-0.00000140	0	12.094	0.347	-0.347	0	835.57088	28.28673	-28.28673	0	940	7	-7	0	385.6890000	5.7415000	-5.7415000
HATS-77 b	HATS-77	1	1	Transit	3.08762620	0.00000160	-0.00000160	0	13.058	0.235	-0.235	0	436.69623	31.78284	-23.51930	0	828	6	-6	0	436.1760000	10.9100000	-10.4000000
HATS-8 b	HATS-8	1	1	Transit	3.58389300	0.00001000	-0.00001000	0	9.785	1.379	-0.841	0	43.86054	6.03877	-6.03877	0	1324	79	-38	0	794.6370000	19.4120000	-18.5240000
HATS-9 b	HATS-9	1	1	Transit	1.91529100	0.00001900	-0.00001800	0	13.850	0.350	-0.350	0	266.02371	9.21707	-9.21707	0	1746	36	-36	0	638.7000000	12.6330000	-12.1600000
HD 100546 b	HD 100546	1	1	Imaging					77.342	30.264	-32.506	0	2701.54146	1271.31363	-1271.31363	0					109.6770000	0.6210000	-0.6130000
HD 100655 b	HD 100655	2	1	Radial Velocity	157.57001000	0.65000000	-0.65000000	0	13.500			0	511.70630	108.06220	-108.06220	0					137.1780000	0.8950000	-0.8950000
HD 100777 b	HD 100777	1	1	Radial Velocity	383.00000000	1.00000000	-1.00000000	0	13.700			0	390.92894	15.89142	-15.89142	0					49.5336000	0.1459000	-0.1451000
HD 10180 c	HD 10180	1	6	Radial Velocity	5.75969000	0.00028000	-0.00028000	0	3.680			0	13.10000	0.54000	-0.54000	0					38.9607000	0.0387000	-0.0386000
HD 10180 d	HD 10180	1	6	Radial Velocity	16.35700000	0.00380000	-0.00380000	0	3.450			0	11.75000	0.65000	-0.65000	0					38.9607000	0.0387000	-0.0386000
HD 10180 e	HD 10180	1	6	Radial Velocity	49.74800000	0.02500000	-0.02500000	0	5.390			0	25.10000	1.20000	-1.20000	0					38.9607000	0.0387000	-0.0386000
HD 10180 f	HD 10180	1	6	Radial Velocity	122.74400000	0.23200000	-0.23200000	0	5.240			0	23.90000	1.40000	-1.40000	0					38.9607000	0.0387000	-0.0386000
HD 10180 g	HD 10180	1	6	Radial Velocity	604.67000000	10.42000000	-10.42000000	0	4.910			0	21.40000	3.40000	-3.40000	0					38.9607000	0.0387000	-0.0386000
HD 10180 h	HD 10180	1	6	Radial Velocity	2205.00000000	105.90000000	-105.90000000	0	9.400			0	64.40000	4.60000	-4.60000	0					38.9607000	0.0387000	-0.0386000
HD 101930 b	HD 101930	2	1	Radial Velocity	70.46000000	0.18000000	-0.18000000	0	10.600			0	79.45750	6.35660	-6.35660	0					30.0274000	0.0409000	-0.0407000
HD 102117 b	HD 102117	1	1	Radial Velocity	20.81330000	0.00640000	-0.00640000	0	8.470			0	54.03110	3.17830	-3.17830	0					39.5792000	0.0646000	-0.0644000
HD 102195 b	HD 102195	1	1	Radial Velocity	4.11377000	0.00056000	-0.00056000	0	14.200			0	130.31030	6.35660	-6.35660	0					29.3386000	0.0482000	-0.0480000
HD 102272 b	HD 102272	1	1	Radial Velocity	127.58000000	0.30000000	-0.30000000	0	12.900			0	1570.08020	203.41120	-203.41120	0					347.0970000	13.7975000	-13.7975000
HD 102329 b	HD 102329	1	2	Radial Velocity	778.09998000	7.50000000	-7.50000000	0	12.600			0	2593.49280	696.04770	-696.04770	0					217.1070000	3.1720000	-3.0830000
HD 102329 c	HD 102329	1	2	Radial Velocity	1123.00000000	79.00000000	-53.00000000	0	13.500			0	483.10160	95.34900	-79.45750	0					217.1070000	3.1720000	-3.0830000
HD 102365 b	HD 102365	2	1	Radial Velocity	122.10000000	0.30000000	-0.30000000	0	4.140			0	16.00000	2.60000	-2.60000	0					9.2894000	0.0142400	-0.0142000
HD 102843 b	HD 102843	1	1	Radial Velocity	3090.94200000	295.04900000	-295.04900000	0	13.100			0	113.90000	14.50000	-14.50000	0					62.7580000	0.2124000	-0.2111000
HD 102956 b	HD 102956	2	1	Radial Velocity	6.49470000	0.00019000	-0.00019000	0	13.800			0	305.11680	7.31009	-7.31009	0					121.8900000	0.4345000	-0.4345000
HD 103197 b	HD 103197	1	1	Radial Velocity	47.84000000	0.03000000	-0.03000000	0	5.830			0	28.60470	6.35660	-6.35660	0					57.1463000	0.0970000	-0.0967000
HD 103720 b	HD 103720	1	1	Radial Velocity	4.55570000	0.00010000	-0.00010000	0	14.100			0	197.04600	7.94500	-7.94500	0					45.5352000	0.1032000	-0.1026000
HD 103774 b	HD 103774	2	1	Radial Velocity	5.88810000	0.00050000	-0.00050000	0	13.300			0	116.00000	7.00000	-7.00000	0					56.4089000	0.1785000	-0.1774000
HD 103891 b	HD 103891	1	1	Radial Velocity	1919.00000000	14.00000000	-15.00000000	0	13.200			0	918.52410	298.75870	-266.97586	0					55.5213000	0.4446000	-0.4378000
HD 103949 b	HD 103949	1	1	Radial Velocity	120.87800000	0.44600000	-0.44600000	0	3.350			0	11.20000	2.30000	-2.30000	0					26.4997000	0.0538000	-0.0537000
HD 104067 b	HD 104067	1	2	Radial Velocity	55.85100000	0.01700000	-0.01700000	0	9.200			0	62.10000	3.30000	-3.20000	0					20.3632000	0.0245000	-0.0244000
HD 104067 c	HD 104067	1	2	Radial Velocity	13.89920000	0.00470000	-0.00370000	0	3.690			0	13.20000	1.90000	-1.90000	0					20.3632000	0.0245000	-0.0244000
HD 10442 b	HD 10442	1	1	Radial Velocity	1032.30000000	8.90000000	-8.90000000	0	13.600			0	472.61321	24.15508	-24.15508	0					135.3740000	1.3395000	-1.3395000
HD 104985 b	HD 104985	1	1	Radial Velocity	199.68000000	0.09000000	-0.07000000	0	12.800			0	1766.80811	34.96112	-38.77507	0					100.5760000	0.7190000	-0.7190000
HD 105618 b	HD 105618	1	2	Radial Velocity	10.02245000	0.00139000	-0.00118000	0	5.440			0	25.42627	2.22480	-2.54263	0					70.0837000	0.2478000	-0.2462000
HD 105618 c	HD 105618	1	2	Radial Velocity	77114.07158000	22860.71764000	-10271.15556000	0	11.900			0	8419.59233	1379.37529	-898.50091	0					70.0837000	0.2478000	-0.2462000
HD 105779 b	HD 105779	1	1	Radial Velocity	2412.00000000	55.00000000	-52.00000000	0	14.100			0	203.41018	19.06970	-19.06970	0					55.2411000	0.1700000	-0.1690000
HD 106252 b	HD 106252	1	1	Radial Velocity	1531.00000000	4.70000000	-4.70000000	0	12.500			0	3178.28407	247.90616	-232.01474	0					38.1850000	0.0790000	-0.0787000
HD 106270 b	HD 106270	1	1	Radial Velocity	1888.00000000	16.00000000	-16.00000000	0	12.400			0	3623.24384	731.00534	-381.39409	0					93.8080000	0.5686000	-0.5686000
HD 106315 b	HD 106315	1	2	Transit	9.55237000	0.00089000	-0.00089000	0	2.440	0.170	-0.170	0	12.60000	3.20000	-3.20000	0	1153	25	-25	0	109.3530000	0.6910000	-0.6810000
HD 106315 c	HD 106315	1	2	Transit	21.05704000	0.00046000	-0.00046000	0	4.350	0.230	-0.230	0	15.20000	3.70000	-3.70000	0	886	20	-20	0	109.3530000	0.6910000	-0.6810000
HD 10647 b	HD 10647	1	1	Radial Velocity	989.20000000	8.10000000	-8.10000000	0	13.800			0	298.75000	25.43000	-25.43000	0					17.3357000	0.0223000	-0.0223000
HD 106515 A b	HD 106515 A	2	1	Radial Velocity	3586.86089000	59.17074000	-34.26066000	0	12.500			0	3025.09078	2029.33438	-40.68204	0					34.0915000	0.0856000	-0.0851000
HD 106906 b	HD 106906	1	1	Imaging					12.400			0	3496.00000	636.00000	-636.00000	0	1800	100	-100	0	103.0290000	0.4610000	-0.4570000
HD 10697 b	HD 10697	1	1	Radial Velocity	1075.37990000	0.82091000	-0.74513000	0	12.800			0	1825.28854	321.32452	-91.85241	0					33.1205000	0.0442000	-0.0442000
