# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:40:09 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_trandur:     Transit Duration [hours]
#
pl_name,pl_orbper,pl_rade,pl_trandur
K2-283 b,1.92103600,3.520,
K2-284 b,4.79506900,2.780,2.1470000
K2-285 b,3.47174500,2.590,2.1800000
K2-285 c,7.13804800,3.530,2.5200000
K2-285 d,10.45582000,2.480,2.5040000
K2-285 e,14.76289000,1.950,2.3000000
K2-286 b,27.35900000,2.100,3.0000000
K2-287 b,14.89329100,9.494,
K2-288 B b,31.39346300,1.900,2.1120000
K2-289 b,13.15696900,9.100,4.0320000
K2-29 b,3.25883210,13.339,2.2200000
K2-290 b,9.21165000,3.060,4.9600000
K2-290 c,48.36685000,11.276,8.1400000
K2-291 b,2.22517700,1.589,1.7190000
K2-292 b,16.98410000,2.630,3.6600000
K2-293 b,13.12250000,2.450,3.9800000
K2-294 b,2.50387000,1.660,2.6000000
K2-295 b,4.02486700,10.054,2.4984000
K2-3 b,10.05465350,2.078,
K2-3 c,24.64672900,1.582,
K2-3 d,44.55603000,1.458,
K2-30 b,4.09850300,11.646,2.3208000
K2-308 b,3.38628000,9.916,3.0900000
K2-31 b,1.25785000,11.882,0.9816000
K2-315 b,3.14431890,0.950,0.8210000
K2-316 b,1.13300000,1.330,
K2-316 c,5.26000000,1.830,
K2-317 b,6.22000000,2.930,
K2-318 b,7.01000000,1.660,
K2-319 b,26.68000000,2.790,
K2-32 b,8.99200000,5.299,3.4880000
K2-32 c,20.66093000,3.134,4.3500000
K2-32 d,31.71701000,3.484,4.8880000
K2-32 e,4.34934000,1.212,2.6710000
K2-320 b,1.99500000,2.620,
K2-321 b,2.29800000,1.950,
K2-322 b,8.20500000,1.920,
K2-323 b,24.93000000,2.100,
K2-324 b,3.26200000,2.430,
K2-325 b,6.93000000,2.200,
K2-326 b,1.25600000,2.280,
K2-329 b,12.45512250,8.676,3.6210000
K2-33 b,5.42486500,5.040,4.0800000
K2-330 b,13.77479800,2.770,4.5700000
K2-331 b,9.39897700,1.790,3.9200000
K2-331 c,22.99659100,2.720,4.4300000
K2-332 b,17.70632000,2.200,2.0300000
K2-333 b,14.75928700,6.180,4.9600000
K2-334 b,5.11398100,5.650,2.4600000
K2-335 b,12.28321100,2.210,4.3100000
K2-336 b,21.19473300,1.220,4.6500000
K2-337 b,16.27356300,2.620,7.6400000
K2-338 b,3.85061400,1.030,1.7800000
K2-339 b,19.50742800,1.920,3.4000000
K2-34 b,2.99563480,13.750,
K2-340 b,29.74045100,3.360,5.2900000
K2-341 b,36.55255100,3.210,6.2500000
K2-342 b,11.56105200,2.030,3.7300000
K2-343 b,2.78717400,1.650,1.4600000
K2-343 c,7.67697200,2.020,2.2000000
K2-344 b,3.35585000,1.590,1.7600000
K2-345 b,10.36743700,2.110,2.0800000
K2-346 b,26.20144600,2.260,3.3300000
K2-347 b,7.18725700,2.410,2.5700000
K2-348 b,4.68841800,3.260,2.7500000
K2-348 c,12.55017100,2.670,3.6800000
K2-349 b,9.03217800,1.380,3.2500000
K2-35 b,2.39996400,1.320,
K2-35 c,5.60835200,1.930,
K2-350 b,4.16387300,1.540,2.7500000
K2-350 c,19.99194400,2.740,4.9400000
K2-351 b,7.80616400,2.540,2.7800000
K2-352 b,3.66591200,1.370,1.6300000
K2-352 c,8.23488500,1.920,3.5900000
K2-352 d,14.87138700,2.230,4.1400000
K2-353 b,15.46680500,5.550,3.3900000
K2-354 b,3.79330600,1.560,1.5300000
K2-355 b,5.73856470,2.250,
K2-356 b,21.02673660,2.290,
K2-357 b,16.34886370,3.720,
K2-358 b,11.25102850,2.680,
K2-36 b,1.42261400,1.430,
K2-36 c,5.34088800,3.200,
K2-365 b,23.44817200,2.906,
K2-366 b,15.93703900,2.359,
K2-367 b,20.64509900,2.413,
K2-368 b,5.02559800,1.332,
K2-368 c,9.66018600,1.361,
K2-368 d,20.20108500,1.948,
K2-369 b,5.76161200,1.313,
K2-37 b,4.44117000,1.610,2.7060000
K2-37 c,6.42904000,2.750,3.1270000
K2-37 d,14.09189000,2.730,2.9670000
K2-370 b,2.14084000,3.207,
K2-371 b,3.11490500,13.024,
K2-372 b,9.84407700,2.945,
K2-373 b,11.02066000,2.061,
K2-374 b,4.52195300,1.593,
K2-374 c,16.43445000,2.213,
K2-375 b,14.45389500,2.243,
K2-376 b,5.77647500,1.736,
K2-377 b,12.83223500,1.693,
K2-378 b,2.06043800,2.880,
K2-379 b,8.77724700,2.181,
K2-38 b,4.01593000,1.655,
K2-38 c,10.56103000,2.490,
K2-380 b,9.40131200,2.729,
K2-381 b,7.93893340,1.075,
K2-381 c,16.03465600,2.000,
K2-381 d,26.80302300,1.689,
K2-382 b,21.70015600,2.072,
K2-383 b,1.86596200,1.564,
K2-384 b,2.23152700,1.076,
K2-384 c,4.19476600,1.191,
K2-384 d,6.67958200,1.392,
K2-384 e,9.71504300,1.345,
K2-384 f,13.62749000,2.222,
K2-385 b,2.38086700,1.539,
K2-386 b,7.47322300,2.320,
K2-387 b,28.73532700,7.322,
K2-388 b,6.33906900,3.660,
K2-389 b,8.58404300,2.184,
K2-389 c,20.85133700,2.040,
K2-39 b,4.60543000,6.277,
K2-390 b,3.31279200,4.662,
K2-391 b,4.62265400,1.371,
K2-392 b,15.39872300,1.850,
K2-393 b,10.41318100,2.352,
K2-394 b,5.09571700,1.692,
K2-395 b,4.80335200,2.597,
K2-395 c,8.49128200,3.395,
K2-396 b,0.67386200,1.579,
K2-396 c,25.76051000,3.124,
K2-397 b,3.57232600,2.417,
K2-398 b,6.39302500,2.274,
K2-398 c,18.78783900,5.098,
K2-4 b,10.00341700,2.100,
K2-400 b,3.86505300,1.163,
K2-401 b,6.29309900,2.262,
K2-402 b,17.27474000,2.678,
K2-403 b,33.58997900,5.333,
K2-404 b,13.11536500,2.530,
K2-405 b,3.43547100,4.569,
K2-406 b,22.54940600,4.602,
K2-407 b,4.94190700,1.283,
K2-407 c,9.22453000,1.360,
K2-408 b,20.97895900,1.677,
K2-409 b,1.90808400,2.482,
K2-411 b,3.21410000,0.990,
K2-412 b,5.93820000,2.116,
K2-413 b,0.80940000,0.760,
K2-413 c,5.33010000,1.233,
K2-414 b,4.36960000,1.219,
K2-414 c,6.66900000,1.929,
K2-415 b,4.01796940,1.015,
K2-416 b,13.10200000,2.660,2.7700000
K2-417 b,6.53500000,3.310,2.0700000
K2-419 A b,20.35847252,10.550,3.5740000
K2-42 b,6.68796000,2.150,3.0400000
K2-43 b,3.47114900,4.510,
K2-43 c,2.19888400,2.420,
K2-44 b,5.65700000,2.433,
K2-45 b,1.72926840,6.710,1.6890000
K2-46 b,19.15410000,2.050,6.7300000
K2-47 b,31.63720000,1.890,4.0000000
K2-48 b,20.50650000,2.240,3.0100000
K2-49 b,2.77065000,1.930,2.3070000
K2-5 b,5.73594000,1.910,2.6540000
K2-5 c,10.93241000,2.260,3.4980000
K2-50 b,8.75290000,1.590,2.6800000
K2-52 b,3.53505500,18.000,5.3280000
K2-53 b,12.20772000,2.600,3.4800000
K2-54 b,9.78430000,1.150,2.7600000
K2-55 b,2.84925800,3.820,2.0060000
K2-57 b,9.00630000,2.100,2.2900000
K2-58 b,7.05254000,2.680,1.8990000
K2-58 c,2.53726000,1.620,1.9960000
K2-58 d,22.88270000,1.710,3.2000000
K2-59 b,20.69210000,2.410,2.7600000
K2-59 c,11.29540000,2.300,1.7500000
K2-6 b,30.94191000,2.500,
K2-60 b,3.00265000,7.656,3.0800000
K2-61 b,2.57302000,2.480,2.3300000
K2-62 b,6.67202000,2.140,1.4100000
K2-62 c,16.19660000,2.140,1.2900000
K2-63 b,20.25700000,3.220,5.4900000
K2-63 c,25.45560000,3.900,4.2400000
K2-64 b,6.53044000,2.070,3.0600000
K2-65 b,12.64750000,1.580,3.4300000
K2-66 b,5.06963000,2.490,4.7100000
K2-68 b,8.05428000,1.580,2.7200000
K2-69 b,7.06599000,2.320,1.6200000
K2-7 b,28.67992000,2.670,
K2-70 b,13.97896000,2.890,3.5200000
K2-71 b,6.98541000,2.150,1.4100000
K2-72 b,5.57721200,1.080,
K2-72 c,15.18903400,1.160,
K2-72 d,7.76017800,1.010,
K2-72 e,24.15886800,1.290,
K2-73 b,7.49543000,2.450,3.6200000
K2-74 b,19.56660000,2.310,5.1200000
K2-75 b,7.81420000,2.670,5.4800000
K2-75 c,18.31100000,2.770,6.4200000
K2-77 b,8.19979600,2.300,2.4000000
K2-79 b,10.99470000,4.090,
K2-8 b,10.35239000,3.580,3.3620000
K2-8 c,5.06416000,2.410,2.0800000
K2-80 b,19.09180000,2.010,4.4600000
K2-80 c,5.60500000,1.470,2.6800000
K2-80 d,28.86725300,2.552,
K2-81 b,6.10232500,1.970,
K2-83 b,2.74697000,1.244,1.6640000
K2-83 c,9.99767000,1.483,2.7700000
K2-84 b,6.42150000,2.410,2.8100000
K2-84 c,27.86000000,2.030,4.6100000
K2-85 b,0.68455900,1.200,
K2-86 b,8.77683000,1.960,2.7500000
K2-87 b,9.72661800,7.600,4.5600000
K2-88 b,4.61220000,1.230,1.0390000
K2-89 b,1.09602600,0.615,0.8950000
K2-9 b,18.44980000,2.250,2.8397000
K2-90 b,13.73331400,2.600,2.9520000
K2-90 c,2.90070600,1.300,
K2-91 b,1.41954900,1.100,0.9450000
K2-95 b,10.13464540,3.310,
K2-97 b,8.40672600,10.610,
K2-98 b,10.13644800,5.200,
K2-99 b,18.25198500,11.730,
KELT-1 b,1.21751400,12.442,2.7645600
KELT-10 b,4.16627390,15.681,3.7440000
KELT-11 b,4.73610000,15.132,7.1376000
KELT-12 b,5.03162300,19.952,5.7624000
KELT-14 b,1.71005660,19.537,2.1880800
KELT-15 b,3.32944000,19.504,
KELT-16 b,0.96899510,15.861,2.4888000
KELT-17 b,3.08017160,17.094,3.4752000
KELT-18 b,2.87175180,17.598,4.6440000
KELT-19 A b,4.61170930,21.409,4.3944000
KELT-2 A b,4.11379000,15.132,
KELT-20 b,3.47410850,19.515,3.5755200
KELT-21 b,3.61276470,17.777,4.1054400
KELT-23 A b,2.25525100,14.830,2.3810400
KELT-24 b,5.55149296,12.711,4.3032000
KELT-3 b,2.70339000,17.486,
KELT-4 A b,2.98959320,19.044,3.4627200
KELT-6 b,7.84570000,14.572,
KELT-7 b,2.73477000,17.934,
KELT-8 b,3.24406000,18.159,
KELT-9 b,1.48112350,21.196,3.9158400
KIC 10525077 b,854.08300000,5.500,
KIC 3558849 b,1322.30000000,6.900,
KIC 5437945 b,440.78130000,6.400,
KIC 8540376 b,31.80990000,4.100,
KIC 8540376 c,75.20000000,2.400,
KIC 9663113 b,572.38470000,4.600,
KOI-12 b,17.85518200,13.787,
KOI-1257 b,86.64766100,10.540,
KOI-13 b,1.76358800,16.948,
KOI-142 b,10.91647000,3.438,
KOI-1599.01,20.44150000,1.900,
KOI-1599.02,13.60880000,1.900,
KOI-1783.01,134.46280000,8.860,5.8740000
KOI-1783.02,284.21500000,5.440,
KOI-1831 d,34.16900000,1.130,
KOI-1833 d,7.68500000,2.580,
KOI-217 b,3.90512000,12.442,
KOI-2513.01,19.00547000,2.802,
KOI-3503 b,21.18500000,1.190,
KOI-3503 c,31.82800000,1.210,
KOI-351 b,7.00815100,1.310,3.9900000
KOI-351 c,8.71937500,1.190,4.4100000
KOI-351 d,59.73667000,2.870,8.4000000
KOI-351 e,91.93913000,2.660,9.7100000
KOI-351 f,124.91440000,2.880,10.9400000
KOI-351 g,210.60697000,8.100,12.5930000
KOI-351 h,331.60059000,11.300,14.7370000
KOI-3680 b,141.24167100,11.097,6.7368000
KOI-4777.01,0.41200000,0.510,0.7300000
KOI-7368 b,6.84303440,2.220,2.7900000
KOI-7913 b,24.27855300,2.340,4.3900000
KOI-94 b,3.74320800,1.710,
KOI-94 c,10.42364800,4.320,
KOI-94 d,22.34298900,11.270,
KOI-94 e,54.32031000,6.560,
KOI-984 b,4.28817850,4.300,1.5800000
KPS-1 b,1.70629100,11.545,1.6800000
Kepler-10 b,0.83749070,1.470,
Kepler-10 c,45.29430100,2.355,
Kepler-100 b,6.88705000,1.320,
Kepler-100 c,12.81590000,2.200,
Kepler-100 d,35.33310000,1.610,
Kepler-1000 b,120.01812720,4.760,11.6040000
Kepler-1001 b,14.30511983,3.150,4.4490000
Kepler-1001 c,9.18186000,1.578,
Kepler-1002 b,4.33642933,1.710,4.1031000
Kepler-1003 b,3.55485691,1.780,2.1026000
Kepler-1004 b,5.28789787,6.280,8.5280000
Kepler-1005 b,6.49801525,1.500,2.3167000
Kepler-1006 b,19.76172042,1.540,3.5906000
Kepler-1007 b,5.18500207,1.440,2.1771000
Kepler-1008 b,12.43931193,1.280,3.1210000
Kepler-1009 b,11.35011917,2.170,2.3758000
Kepler-101 b,3.48768120,5.770,3.8750000
Kepler-101 c,6.02976000,1.250,3.8700000
Kepler-1010 b,34.26857050,2.320,4.8184000
Kepler-1011 b,5.75322197,2.870,1.6828000
Kepler-1012 b,5.50860439,1.290,2.9468000
Kepler-1013 b,18.93054959,2.150,3.3440000
Kepler-1014 b,16.57110363,2.390,2.9613000
Kepler-1015 b,16.00494214,3.550,6.4648000
Kepler-1016 b,1.95452434,2.180,2.0960000
Kepler-1016 c,105.65513690,3.680,9.2430000
Kepler-1017 b,7.23400469,1.990,2.1648000
Kepler-1018 b,49.10135140,2.580,6.3230000
Kepler-1019 b,1.41122985,1.460,1.3912000
Kepler-102 b,5.28696500,0.460,
Kepler-102 c,7.07139200,0.567,
Kepler-102 d,10.31176700,1.154,
Kepler-102 e,16.14569940,2.170,
Kepler-102 f,27.45359200,0.861,
Kepler-1020 b,96.91514960,2.280,5.9964000
Kepler-1021 b,13.47469571,2.330,2.6174000
Kepler-1022 b,10.99469878,2.360,1.6434000
Kepler-1023 b,62.13877140,2.630,4.1578000
Kepler-1024 b,66.41621330,3.910,6.9650000
Kepler-1025 b,37.32294930,1.980,7.0207000
Kepler-1026 b,36.51560530,2.210,3.5880000
Kepler-1027 b,1.90780520,0.890,1.8531000
Kepler-1028 b,2.51462432,1.330,1.6093000
Kepler-1029 b,4.41769648,1.260,1.9161000
Kepler-103 b,15.96532870,3.486,
Kepler-103 c,179.60978000,5.450,
Kepler-1030 b,19.32952416,2.480,3.7701000
Kepler-1031 b,1.22621732,0.870,2.1486000
Kepler-1032 b,3.29011795,1.870,1.5469000
Kepler-1033 b,7.56052806,2.510,3.8262000
Kepler-1034 b,12.12400943,2.260,3.3136000
Kepler-1035 b,2.71407755,1.170,1.2618000
Kepler-1036 b,122.88080580,3.010,8.2810000
Kepler-1037 b,1.06378867,1.280,1.0764000
Kepler-1038 b,148.46033820,3.530,5.4020000
Kepler-1038 c,7.12765980,1.416,
Kepler-1039 b,0.93488424,1.460,1.4174000
Kepler-104 b,11.42754800,3.100,4.5650000
Kepler-104 c,23.66820500,3.130,5.8720000
Kepler-104 d,51.75539400,3.580,7.4650000
Kepler-1040 b,201.12140000,2.080,10.5750000
Kepler-1041 b,24.75764210,2.940,7.3610000
Kepler-1042 b,10.13202575,2.190,3.1376000
Kepler-1043 b,38.50533980,2.550,5.9730000
Kepler-1044 b,6.77408868,2.670,2.6196000
Kepler-1045 b,26.41045478,2.690,2.9960000
Kepler-1046 b,14.37508035,1.710,2.9658000
Kepler-1047 b,56.18868870,2.090,6.0890000
Kepler-1047 c,3.18897601,0.990,2.4900000
Kepler-1048 b,6.92101021,1.610,4.2469000
Kepler-1049 b,3.27346074,0.950,1.7732000
Kepler-105 b,5.41220000,4.810,3.3000000
Kepler-105 c,7.12620000,1.310,
Kepler-1050 b,15.37875460,1.600,4.3730000
Kepler-1050 c,21.12845690,1.480,3.7890000
Kepler-1051 b,25.96200249,3.400,6.2696000
Kepler-1052 b,34.85382760,2.930,5.3577000
Kepler-1052 c,180.92172900,2.300,8.9900000
Kepler-1053 b,2.41435165,0.980,1.2248000
Kepler-1054 b,4.30655689,2.630,4.0697000
Kepler-1055 b,2.29503623,1.230,1.6459000
Kepler-1056 b,27.49560600,3.010,5.0240000
Kepler-1057 b,14.08827448,3.360,4.1615000
Kepler-1058 b,110.96546000,2.720,12.8410000
Kepler-1059 b,3.76419105,1.730,2.0596000
Kepler-106 b,6.16486000,0.820,
Kepler-106 c,13.57080000,2.500,
Kepler-106 d,23.98020000,0.950,
Kepler-106 e,43.84450000,2.560,
Kepler-1060 b,46.87793670,2.380,9.6350000
Kepler-1061 b,2.75798267,1.980,2.2906000
Kepler-1062 b,9.30412078,1.760,1.8914000
Kepler-1063 b,14.07971466,1.490,1.3354000
Kepler-1064 b,16.54080322,1.550,2.5440000
Kepler-1065 b,3.60930891,3.730,1.7448000
Kepler-1065 c,2.37030743,1.600,1.8450000
Kepler-1066 b,1.93155984,2.360,1.6283000
Kepler-1067 b,0.76212926,0.800,1.0760000
Kepler-1067 c,5.42583990,1.747,
Kepler-1068 b,16.92344113,3.630,4.0618000
Kepler-1069 b,23.89902960,1.600,15.7220000
Kepler-107 b,3.18002180,1.536,
Kepler-107 c,4.90145200,1.597,
Kepler-107 d,7.95839000,0.860,
Kepler-107 e,14.74914300,2.903,
Kepler-1070 b,6.22161470,1.730,3.2606000
Kepler-1071 b,6.17998440,2.380,2.1059000
Kepler-1072 b,1.56906650,1.580,2.7835000
Kepler-1073 b,8.67888593,2.300,3.4818000
Kepler-1073 c,4.02582254,1.640,2.7665000
Kepler-1073 d,2.50476003,1.488,
Kepler-1074 b,5.94566534,1.250,2.1737000
Kepler-1075 b,1.52372816,1.420,1.4652000
Kepler-1076 b,6.14727918,0.800,2.7627000
Kepler-1077 b,34.35118740,2.770,4.2220000
Kepler-1078 b,3.00725242,1.900,4.3360000
Kepler-1079 b,13.24503188,1.630,4.3670000
Kepler-108 b,49.18392100,8.650,11.2770000
Kepler-108 c,190.32349400,8.180,15.7000000
Kepler-1080 b,77.25483960,3.280,10.2940000
Kepler-1081 b,3.85691855,1.010,1.9839000
Kepler-1082 b,1.54320660,1.120,2.6094000
Kepler-1083 b,33.41779930,3.360,4.5490000
Kepler-1084 b,2.05333679,1.110,2.3751000
Kepler-1085 b,219.32175280,7.220,12.3580000
Kepler-1085 c,56.77710000,3.268,
Kepler-1086 b,18.78425728,2.440,3.2339000
Kepler-1086 c,161.51633450,2.940,6.4560000
Kepler-1087 b,0.69384285,0.610,1.5236000
Kepler-1088 b,23.12748644,1.420,4.9230000
Kepler-1089 b,5.13248562,1.830,1.6310000
Kepler-109 b,6.48163070,2.490,
Kepler-109 c,21.22265000,2.650,
Kepler-1090 b,198.68017900,2.250,8.2870000
Kepler-1090 c,42.42720032,3.293,
Kepler-1091 b,1.43474156,1.460,1.8811000
Kepler-1092 b,58.60179250,2.070,5.5430000
Kepler-1093 b,25.08246260,1.950,6.3570000
Kepler-1093 c,89.72229200,1.960,10.6780000
Kepler-1094 b,78.10002310,3.180,8.3220000
Kepler-1095 b,4.27103091,1.210,2.2736000
Kepler-1096 b,2.89221751,1.240,1.3657000
Kepler-1097 b,187.74702900,3.260,5.4080000
Kepler-1098 b,2.54307286,1.300,2.7494000
Kepler-1099 b,2.16845259,2.830,1.6611000
Kepler-11 b,10.30390000,1.800,4.1160000
Kepler-11 c,13.02410000,2.870,4.5440000
Kepler-11 d,22.68450000,3.120,5.5860000
Kepler-11 e,31.99960000,4.190,4.1650000
Kepler-11 f,46.68880000,2.490,6.4310000
Kepler-11 g,118.38070000,3.330,9.4690000
Kepler-110 b,12.69111200,1.830,3.7550000
Kepler-110 c,31.71977500,2.210,4.8230000
Kepler-1100 b,6.42200058,1.750,2.6602000
Kepler-1101 b,81.31510590,2.470,5.7620000
Kepler-1102 b,51.32856230,2.660,9.4390000
Kepler-1103 b,19.79191978,2.270,3.1720000
Kepler-1104 b,5.03728015,1.230,1.8848000
Kepler-1105 b,4.42157218,2.010,2.0749000
Kepler-1106 b,1.25275217,1.650,2.0755000
Kepler-1107 b,0.57103852,1.340,1.0420000
Kepler-1108 b,4.51005748,1.460,2.1605000
Kepler-1109 b,37.64673840,2.190,6.1170000
Kepler-111 b,3.34181500,1.580,2.7690000
Kepler-111 c,224.77833000,7.084,11.1300000
Kepler-1110 b,9.69312032,2.660,2.7590000
Kepler-1111 b,8.79617863,2.000,3.3986000
Kepler-1112 b,14.36267939,3.020,4.6255000
Kepler-1113 b,42.30049540,2.810,4.3980000
Kepler-1114 b,14.97435694,1.350,2.4309000
Kepler-1115 b,23.55407250,1.700,7.1590000
Kepler-1116 b,41.69778270,2.540,5.4230000
Kepler-1117 b,4.79028459,1.110,2.7287000
Kepler-1118 b,38.67150750,2.740,5.5670000
Kepler-1119 b,8.32651530,1.920,5.3830000
Kepler-112 b,8.40887800,2.360,3.4850000
Kepler-112 c,28.57426300,2.400,4.9630000
Kepler-1120 b,2.94902905,1.380,2.0393000
Kepler-1121 b,13.15141081,1.910,5.6035000
Kepler-1122 b,42.19173570,2.040,7.1080000
Kepler-1123 b,4.33946454,1.670,2.2973000
Kepler-1124 b,2.85234897,1.280,0.7060000
Kepler-1125 b,17.67006420,1.840,5.7720000
Kepler-1126 b,108.59332900,1.730,7.9880000
Kepler-1126 c,199.66876000,1.450,8.9960000
Kepler-1127 b,5.12330347,1.960,2.9984000
Kepler-1128 b,61.61781670,3.650,3.7520000
Kepler-1129 b,24.33978040,2.960,3.2920000
Kepler-1129 c,76.53695860,2.730,5.6930000
Kepler-113 b,4.75400000,1.820,
Kepler-113 c,8.92507000,2.180,
Kepler-1130 b,5.45298175,0.800,2.1051000
Kepler-1130 c,3.26663995,0.792,
Kepler-1130 d,4.27225017,0.645,
Kepler-1131 b,3.53232449,1.590,2.8072000
Kepler-1132 b,62.89162280,2.350,6.8670000
Kepler-1133 b,11.55562343,1.970,1.6536000
Kepler-1134 b,17.13263989,2.640,3.0540000
Kepler-1135 b,76.95785700,1.850,9.3840000
Kepler-1136 b,2.36172433,1.640,1.2234000
Kepler-1137 b,23.92107910,2.200,4.6920000
Kepler-1138 b,3.17060005,1.700,1.5778000
Kepler-1139 b,0.81316672,1.190,1.4276000
Kepler-114 b,5.18854900,1.260,2.4350000
Kepler-114 c,8.04100000,1.600,
Kepler-114 d,11.77600000,2.530,
Kepler-1140 b,24.08627070,2.770,2.2287000
Kepler-1141 b,2.34451194,0.820,1.3980000
Kepler-1142 b,18.30272480,1.470,8.1640000
Kepler-1143 b,2.88890485,1.670,1.5538000
Kepler-1143 c,210.63059100,3.600,8.6750000
Kepler-1144 b,17.14647302,1.990,3.8410000
Kepler-1145 b,3.97076766,1.400,1.8140000
Kepler-1146 b,2.35226580,1.230,1.7070000
Kepler-1147 b,10.62784997,2.610,5.0130000
Kepler-1148 b,1.10446351,1.690,1.0547000
Kepler-1149 b,3.73089898,1.440,2.8070000
Kepler-115 b,2.40367900,1.090,1.3060000
Kepler-115 c,8.99088900,2.600,4.0830000
Kepler-1150 b,2.78786839,1.020,2.0252000
Kepler-1151 b,65.64784240,2.220,4.4120000
Kepler-1152 b,1.64680191,0.870,1.2561000
Kepler-1153 b,1.75583533,1.730,1.8136000
Kepler-1154 b,5.18561420,2.340,4.0760000
Kepler-1154 c,8.45808312,2.360,3.0680000
Kepler-1155 b,33.46974300,2.030,4.5130000
Kepler-1156 b,11.89520511,1.320,3.5000000
Kepler-1157 b,4.45743164,1.090,2.3577000
Kepler-1158 b,13.53962930,2.340,4.3380000
Kepler-1159 b,22.70816791,2.370,3.6330000
Kepler-116 b,5.96873400,3.420,3.6390000
Kepler-116 c,13.07163000,2.300,3.0240000
Kepler-1160 b,7.97034958,2.140,2.7665000
Kepler-1161 b,10.71252541,2.130,2.7219000
Kepler-1162 b,32.56370690,2.210,5.5480000
Kepler-1162 c,59.28406400,1.810,5.4200000
Kepler-1163 b,6.11786898,1.030,3.4700000
Kepler-1164 b,3.97599768,1.120,2.1411000
Kepler-1165 b,9.47852200,1.550,6.2230000
Kepler-1165 c,29.96870041,3.361,
Kepler-1166 b,33.24068820,1.690,4.9820000
Kepler-1167 b,1.00393374,1.710,1.4562000
Kepler-1168 b,55.82265390,2.500,5.4930000
Kepler-1169 b,6.11009134,0.940,2.4470000
Kepler-117 b,18.79592280,8.059,7.2580000
Kepler-117 c,50.79039100,12.341,10.8830000
Kepler-1170 b,9.98969327,2.410,3.7040000
Kepler-1171 b,1.44259224,2.560,3.0151000
Kepler-1172 b,26.02044230,3.200,4.8400000
Kepler-1173 b,0.76985360,0.890,1.0276000
Kepler-1174 b,6.89225223,1.590,2.4556000
Kepler-1175 b,37.94563000,2.990,4.0250000
Kepler-1176 b,24.17385790,2.450,3.0570000
Kepler-1177 b,106.24754700,1.900,13.6680000
Kepler-1178 b,31.80634000,1.070,3.7940000
Kepler-1179 b,2.68505749,1.320,1.0229000
Kepler-118 b,7.51849600,1.960,2.8570000
Kepler-118 c,20.17202000,7.680,3.1080000
Kepler-1180 b,16.86012860,1.990,5.5530000
Kepler-1181 b,4.89337519,1.570,3.3160000
Kepler-1181 c,8.93484887,1.830,2.5790000
Kepler-1182 b,11.17394617,2.410,3.4210000
Kepler-1183 b,28.50571890,2.820,6.2520000
Kepler-1184 b,53.59910440,2.680,6.6620000
Kepler-1185 b,104.35189760,1.330,3.5860000
Kepler-1186 b,16.07677615,2.230,2.2370000
Kepler-1187 b,18.87064068,2.610,3.2476000
Kepler-1188 b,17.13695430,2.080,6.3660000
Kepler-1189 b,3.78858982,1.770,3.4920000
Kepler-119 b,2.42208200,3.600,2.5740000
Kepler-119 c,4.12510300,0.920,2.8400000
Kepler-1190 b,10.45843441,1.330,3.1020000
Kepler-1191 b,5.60014851,1.510,2.8018000
Kepler-1192 b,25.20347870,2.360,4.5520000
Kepler-1193 b,2.83265213,1.320,2.3844000
Kepler-1194 b,16.22371307,1.510,2.5020000
Kepler-1195 b,8.49642241,2.080,2.2373000
Kepler-1196 b,66.18490310,2.230,4.7880000
Kepler-1197 b,2.03231845,1.250,1.1214000
Kepler-1198 b,7.68477160,1.470,2.5990000
Kepler-1199 b,15.04471980,1.150,5.8190000
Kepler-12 b,4.43796290,19.661,
Kepler-120 b,6.31250100,2.150,2.9080000
Kepler-120 c,12.79458500,1.530,3.4500000
Kepler-1200 b,1.11854972,1.060,1.5425000
Kepler-1201 b,15.18725932,2.290,4.5080000
Kepler-1202 b,28.68513240,2.940,5.4670000
Kepler-1203 b,0.58800076,1.060,1.1627000
Kepler-1204 b,85.73502850,3.050,7.4570000
Kepler-1205 b,1.07839035,1.410,1.2297000
Kepler-1206 b,1.21699766,1.640,1.3101000
Kepler-1207 b,13.68237119,1.620,4.1630000
Kepler-1208 b,11.08507637,2.320,1.7080000
Kepler-1209 b,25.36911600,1.510,4.6340000
Kepler-121 b,3.17742200,2.340,1.4750000
Kepler-121 c,41.00801100,2.270,3.9780000
Kepler-1210 b,8.07124073,1.700,2.6530000
Kepler-1211 b,11.01816836,2.550,4.5310000
Kepler-1212 b,12.94130146,2.140,4.4680000
Kepler-1213 b,5.34982412,1.190,4.2090000
Kepler-1214 b,18.82634264,2.360,2.3330000
Kepler-1215 b,4.76703963,1.220,1.8500000
Kepler-1216 b,4.37034536,1.390,2.8190000
Kepler-1217 b,2.03232507,1.990,1.7180000
Kepler-1218 b,22.92212660,1.440,8.2610000
Kepler-1219 b,16.10467749,2.120,5.6070000
Kepler-122 b,5.76619300,2.340,3.8460000
Kepler-122 c,12.46598800,5.870,5.0630000
