# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:20:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_rade,pl_masse,pl_eqt,sy_dist
HD 194490 b,HD 194490,1,1,0,Radial Velocity,13092.18348000,,3561.90296,,80.2349000
HD 195019 b,HD 195019,2,1,0,Radial Velocity,18.20132000,,,,37.6681000
HD 196050 b,HD 196050,3,1,0,Radial Velocity,1392.00000000,,1493.79351,,50.6742000
HD 196067 b,HD 196067,2,1,0,Radial Velocity,3638.00000000,,,,39.9346000
HD 19615 b,HD 19615,1,1,0,Radial Velocity,402.00000000,,,,265.1550000
HD 196885 A b,HD 196885 A,2,1,0,Radial Velocity,1333.00000000,,,,34.1692000
HD 197037 b,HD 197037,2,1,0,Radial Velocity,1035.70000000,,,,33.1944000
HD 199509 b,HD 199509,1,1,0,Radial Velocity,99.62167000,,,,24.3056000
HD 19994 b,HD 19994,3,1,0,Radial Velocity,466.20000000,,,,22.5242000
HD 20003 b,HD 20003,1,2,0,Radial Velocity,11.84820000,,,,41.8316000
HD 20003 c,HD 20003,1,2,0,Radial Velocity,33.92390000,,,,41.8316000
HD 200964 b,HD 200964,1,2,0,Radial Velocity,606.30000000,,,,72.5922000
HD 200964 c,HD 200964,1,2,0,Radial Velocity,852.50000000,,,,72.5922000
HD 202206 c,HD 202206,2,1,0,Radial Velocity,1260.00000000,,5689.15700,,45.9665000
HD 202696 b,HD 202696,1,2,0,Radial Velocity,517.80000000,,634.38868,,188.5460000
HD 202696 c,HD 202696,1,2,0,Radial Velocity,946.60000000,,592.43512,,188.5460000
HD 202772 A b,HD 202772 A,2,1,0,Transit,3.30895800,17.318,323.23311,2132,161.4980000
HD 203030 b,HD 203030,1,1,0,Imaging,,14.460,3496.11248,1040,39.2503000
HD 20329 b,HD 20329,1,1,0,Transit,0.92611800,1.720,7.42000,2141,63.6796000
HD 203387 b,HD 203387,1,2,0,Radial Velocity,512.53520000,,,,61.7477000
HD 203387 c,HD 203387,1,2,0,Radial Velocity,2481.07227000,,2378.94563,,61.7477000
HD 2039 b,HD 2039,1,1,0,Radial Velocity,1120.00000000,,,,85.6922000
HD 204313 b,HD 204313,1,3,0,Radial Velocity,2041.11539000,,1466.77810,,47.7945000
HD 204313 c,HD 204313,1,3,0,Radial Velocity,34.95875000,,,,47.7945000
HD 204313 e,HD 204313,1,3,0,Radial Velocity,7325.64666000,,4868.17771,,47.7945000
HD 204941 b,HD 204941,2,1,0,Radial Velocity,1733.00000000,,,,28.7165000
HD 205158 b,HD 205158,1,1,0,Radial Velocity,25.33798000,,,,86.6159000
HD 205739 b,HD 205739,1,1,0,Radial Velocity,279.80000000,,,,92.5087000
HD 206255 b,HD 206255,1,1,0,Radial Velocity,96.04500000,,,,75.2363000
HD 206610 b,HD 206610,1,1,0,Radial Velocity,673.20000000,,,,147.1920000
HD 206893 b,HD 206893,1,2,0,Imaging,9350.00000000,14.011,8899.19540,1429,40.7583000
HD 206893 c,HD 206893,1,2,0,Imaging,2090.00000000,16.365,4036.42077,1182,40.7583000
HD 207496 b,HD 207496,1,1,0,Transit,6.44100800,2.250,6.10000,743,23.6060000
HD 20781 b,HD 20781,2,5,0,Radial Velocity,5.31350000,,,,35.9715000
HD 20781 c,HD 20781,2,5,0,Radial Velocity,13.89050000,,,,35.9715000
HD 20781 d,HD 20781,2,5,0,Radial Velocity,29.15800000,,,,35.9715000
HD 20781 e,HD 20781,2,5,0,Radial Velocity,85.50730000,,,,35.9715000
HD 20782 b,HD 20782,2,5,0,Radial Velocity,597.06430000,,,,35.9864000
HD 207832 b,HD 207832,3,2,0,Radial Velocity,160.07000000,,,,58.9291000
HD 207832 c,HD 207832,3,2,0,Radial Velocity,1155.70000000,,,,58.9291000
HD 207897 b,HD 207897,1,1,0,Transit,16.20166000,2.343,14.80000,582,28.2938000
HD 20794 b,HD 20794,1,4,0,Radial Velocity,18.31500000,,,660,6.0027800
HD 20794 d,HD 20794,1,4,0,Radial Velocity,90.30900000,,,388,6.0027800
HD 20794 e,HD 20794,1,4,0,Radial Velocity,147.02000000,,,,6.0027800
HD 208487 b,HD 208487,1,1,0,Radial Velocity,130.08000000,,,,45.1470000
HD 208527 b,HD 208527,1,1,0,Radial Velocity,875.50000000,,,,312.2020000
HD 20868 b,HD 20868,1,1,0,Radial Velocity,380.85001000,,,,47.7223000
HD 208897 b,HD 208897,1,1,0,Radial Velocity,358.27000000,,,,67.4872000
HD 209458 b,HD 209458,1,1,0,Radial Velocity,3.52474859,15.581,232.01590,,48.3016000
HD 210193 b,HD 210193,1,1,0,Radial Velocity,649.91800000,,,,42.2029000
HD 210277 b,HD 210277,1,1,0,Radial Velocity,442.19000000,,,,21.2985000
HD 210702 b,HD 210702,1,1,0,Radial Velocity,355.50000000,,,,54.1963000
HD 211403 b,HD 211403,1,1,0,Radial Velocity,223.80000000,,,380,83.0919000
HD 211810 b,HD 211810,1,1,0,Radial Velocity,1558.00000000,,,,64.6353000
HD 211970 b,HD 211970,1,1,0,Radial Velocity,25.20100000,,,,13.1277000
HD 212301 b,HD 212301,2,1,0,Radial Velocity,2.24571000,,,,54.2304000
HD 212771 b,HD 212771,1,1,0,Radial Velocity,380.70000000,,,,111.1550000
HD 213240 b,HD 213240,2,1,0,Radial Velocity,882.70001000,,,,40.8707000
HD 213472 b,HD 213472,1,1,0,Radial Velocity,17000.00000000,,,,64.4527000
HD 213519 b,HD 213519,1,1,0,Radial Velocity,11.12214000,,,,41.0014000
HD 213885 b,HD 213885,1,2,0,Transit,1.00803500,1.745,8.83000,2128,48.0883000
HD 213885 c,HD 213885,1,2,0,Radial Velocity,4.78503000,,,1265,48.0883000
HD 21411 b,HD 21411,1,1,0,Radial Velocity,84.28800000,,,,29.1328000
HD 214823 b,HD 214823,2,1,0,Radial Velocity,1854.84424000,,5914.78665,,101.3680000
HD 215152 b,HD 215152,1,4,0,Radial Velocity,5.75999000,,,,21.5974000
HD 215152 c,HD 215152,1,4,0,Radial Velocity,7.28243000,,,,21.5974000
HD 215152 d,HD 215152,1,4,0,Radial Velocity,10.86499000,,,,21.5974000
HD 215152 e,HD 215152,1,4,0,Radial Velocity,25.19670000,,,,21.5974000
HD 21520 b,HD 21520,1,1,0,Transit,25.12920000,2.697,17.70000,637,79.2080000
HD 215497 b,HD 215497,1,2,0,Radial Velocity,3.93404000,,,,40.5468000
HD 215497 c,HD 215497,1,2,0,Radial Velocity,566.00000000,,111.23994,,40.5468000
HD 216435 b,HD 216435,1,1,0,Radial Velocity,1311.00000000,,,,32.9834000
HD 216437 b,HD 216437,1,1,0,Radial Velocity,1359.00000000,,1334.87931,,26.6902000
HD 216520 b,HD 216520,1,2,0,Radial Velocity,35.45000000,,,,19.5520000
HD 216520 c,HD 216520,1,2,0,Radial Velocity,154.43000000,,,,19.5520000
HD 216536 b,HD 216536,1,1,0,Radial Velocity,148.60001000,,,,376.2330000
HD 216770 b,HD 216770,1,1,0,Radial Velocity,118.45000000,,,,36.6625000
HD 21693 b,HD 21693,1,2,0,Radial Velocity,22.67860000,,,,33.2550000
HD 21693 c,HD 21693,1,2,0,Radial Velocity,53.73570000,,,,33.2550000
HD 217107 b,HD 217107,1,2,0,Radial Velocity,7.12682000,,,,20.0619000
HD 217107 c,HD 217107,1,2,0,Radial Velocity,4270.00000000,,,,20.0619000
HD 21749 c,GJ 143,1,2,0,Transit,7.78993000,0.892,3.70000,701,16.3200000
HD 217786 b,HD 217786,2,2,0,Radial Velocity,1301.36009000,,4402.55909,,55.4847000
HD 217786 c,HD 217786,2,2,0,Radial Velocity,2.52221000,,,,55.4847000
HD 217958 b,HD 217958,1,1,0,Radial Velocity,2560.19774000,,166.54209,,61.7957000
HD 218566 b,HD 218566,1,1,0,Radial Velocity,225.70000000,,,,28.8274000
HD 219077 b,HD 219077,1,1,0,Radial Velocity,5478.68861000,,3057.50928,,29.1864000
HD 219134 b,HD 219134,1,6,0,Radial Velocity,3.09292600,1.602,4.74000,1015,6.5312700
HD 219134 c,HD 219134,1,6,0,Radial Velocity,6.76458000,1.511,4.36000,782,6.5312700
HD 219134 d,HD 219134,1,6,0,Radial Velocity,46.85900000,1.610,16.17000,410,6.5312700
HD 219134 g,HD 219134,1,6,0,Radial Velocity,94.20000000,,,,6.5312700
HD 219134 h,HD 219134,1,6,0,Radial Velocity,2247.00000000,,,,6.5312700
HD 219139 b,HD 219139,1,1,0,Radial Velocity,275.50000000,,,,104.9350000
HD 219415 b,HD 219415,1,1,0,Radial Velocity,2093.30000000,,,,165.1840000
HD 219666 b,HD 219666,1,1,0,Transit,6.04345000,4.240,,838,94.1719000
HD 219828 b,HD 219828,1,2,0,Radial Velocity,3.83483000,,,,73.1140000
HD 219828 c,HD 219828,1,2,0,Radial Velocity,4789.87297000,,5102.41725,,73.1140000
HD 220074 b,HD 220074,1,1,0,Radial Velocity,672.09998000,,,,324.5400000
HD 220197 b,HD 220197,1,1,0,Radial Velocity,1728.00000000,,,,64.4110000
HD 220689 b,HD 220689,1,1,0,Radial Velocity,2266.40000000,,,,46.8778000
HD 220773 b,HD 220773,1,1,0,Radial Velocity,3724.70000000,,,,50.5103000
HD 220842 b,HD 220842,2,1,0,Radial Velocity,218.47000000,,,,64.6498000
HD 221287 b,HD 221287,1,1,0,Radial Velocity,456.10000000,,,,55.9231000
HD 221416 b,HD 221416,1,1,0,Transit,14.27670000,9.170,60.50000,,95.5483000
HD 221420 b,HD 221420,1,1,0,Radial Velocity,10066.00000000,,6992.22495,,31.1415000
HD 221585 b,HD 221585,1,1,0,Radial Velocity,1173.00000000,,,,55.8535000
HD 222076 b,HD 222076,1,1,0,Radial Velocity,871.00000000,,,,91.1538000
HD 222155 b,HD 222155,1,1,0,Radial Velocity,3999.00000000,,,,50.6078000
HD 222237 b,HD 222237,1,1,0,Radial Velocity,14892.00000000,,1649.52943,,11.4469000
HD 222582 b,HD 222582,2,1,0,Radial Velocity,572.38000000,,,,42.1586000
HD 224538 b,HD 224538,1,1,0,Radial Velocity,1202.05199000,,2075.73733,,79.0608000
HD 224693 b,HD 224693,1,1,0,Radial Velocity,26.69040000,,,,93.5015000
HD 22496 b,HD 22496,1,1,0,Radial Velocity,5.09071000,,,573,13.5956000
HD 22532 b,HD 22532,1,1,0,Radial Velocity,872.60000000,,,,161.1830000
HD 22781 b,HD 22781,1,1,0,Radial Velocity,528.07000000,,,,32.6034000
HD 22946 d,HD 22946,1,3,0,Transit,47.42489000,2.607,26.57000,546,62.7792000
HD 23079 b,HD 23079,1,1,0,Radial Velocity,730.59998000,,,,33.4591000
HD 23127 b,HD 23127,1,1,0,Radial Velocity,1211.17000000,,,,93.8555000
HD 231701 b,HD 231701,1,1,0,Radial Velocity,141.63000000,,,,108.8770000
HD 233604 b,HD 233604,1,1,0,Radial Velocity,192.00000000,,,,847.0580000
HD 233832 b,HD 233832,2,1,0,Radial Velocity,2058.00000000,,,,58.7420000
HD 23472 b,HD 23472,1,5,0,Transit,17.66708700,2.000,8.32000,543,39.0341000
HD 23472 c,HD 23472,1,5,0,Transit,29.79749000,1.870,3.41000,467,39.0341000
HD 23472 d,HD 23472,1,5,0,Transit,3.97664000,0.750,0.55000,909,39.0341000
HD 23472 e,HD 23472,1,5,0,Transit,7.90754000,0.818,0.72000,723,39.0341000
HD 23472 f,HD 23472,1,5,0,Transit,12.16218390,1.137,0.77000,630,39.0341000
HD 235088 b,HD 235088,1,1,0,Transit,7.43415100,2.075,4.20000,754,41.1706000
HD 23596 b,HD 23596,2,1,0,Radial Velocity,1535.11912000,,3786.60764,,52.0018000
HD 238090 b,HD 238090,1,1,0,Radial Velocity,13.67100000,,,470,15.2354000
HD 238914 b,HD 238914,1,1,0,Radial Velocity,4100.00000000,,,,519.4520000
HD 240210 b,HD 240210,1,1,0,Radial Velocity,501.75000000,,,,372.4050000
HD 240237 b,HD 240237,1,1,0,Radial Velocity,745.70001000,,,,933.3770000
HD 24040 b,HD 24040,1,2,0,Radial Velocity,3668.00000000,,,,46.6224000
HD 24040 c,HD 24040,1,2,0,Radial Velocity,515.40000000,,,,46.6224000
HD 24064 b,HD 24064,1,1,0,Radial Velocity,535.59998000,,,,300.2470000
HD 24085 b,HD 24085,1,1,0,Radial Velocity,2.04550000,,,,54.9004000
HD 25015 b,HD 25015,1,1,0,Radial Velocity,6134.42700000,,2884.92845,,37.4330000
HD 25171 b,HD 25171,2,1,0,Radial Velocity,1802.29000000,,,,55.6146000
HD 25463 b,HD 25463,1,2,0,Transit,7.04914230,2.545,8.70000,1198,45.6181000
HD 25463 c,HD 25463,1,2,0,Transit,3.04405000,1.364,4.30000,1586,45.6181000
HD 25723 b,HD 25723,1,1,0,Radial Velocity,457.01000000,,,,114.8160000
HD 25912 b,HD 25912,1,2,0,Radial Velocity,41.83156000,,,,49.1661000
HD 25912 c,HD 25912,1,2,0,Radial Velocity,26308.65619000,,5252.75008,,49.1661000
HD 260655 b,HD 260655,1,2,0,Transit,2.76953000,1.240,2.14000,709,10.0055000
HD 260655 c,HD 260655,1,2,0,Transit,5.70588000,1.533,3.09000,557,10.0055000
HD 26161 b,HD 26161,1,1,0,Radial Velocity,10942.29013000,,9045.39646,,40.9128000
HD 2638 b,HD 2638,3,1,0,Radial Velocity,3.44420000,,,,54.9621000
HD 2685 b,HD 2685,1,1,0,Transit,4.12688000,16.141,371.86110,2061,196.8520000
HD 27442 b,HD 27442,2,1,0,Radial Velocity,428.10000000,,,,18.2704000
HD 27631 b,HD 27631,1,1,0,Radial Velocity,2198.14000000,,,,50.2862000
HD 27894 b,HD 27894,1,3,0,Radial Velocity,18.01939000,,,,43.8214000
HD 27894 c,HD 27894,1,3,0,Radial Velocity,36.07000000,,,,43.8214000
HD 27894 d,HD 27894,1,3,0,Radial Velocity,5019.54244000,,2063.65985,,43.8214000
HD 27969 b,HD 27969,1,1,0,Radial Velocity,654.50000000,,,261,67.9328000
HD 28109 b,HD 28109,1,3,0,Transit,22.89104000,2.199,18.49600,881,139.6110000
HD 28109 c,HD 28109,1,3,0,Transit,56.00819000,4.230,7.94300,585,139.6110000
HD 28109 d,HD 28109,1,3,0,Transit,84.25999000,3.250,5.68100,506,139.6110000
HD 28185 b,HD 28185,1,2,0,Radial Velocity,385.52775000,,,,39.3809000
HD 28185 c,HD 28185,1,2,0,Radial Velocity,17417.92079000,,6241.83209,,39.3809000
HD 28192 b,HD 28192,1,1,0,Radial Velocity,14.23283000,,,,49.8063000
HD 28254 b,HD 28254,2,1,0,Radial Velocity,1333.00000000,,1207.74795,,55.2884000
HD 284149 AB b,HD 284149 A,2,1,0,Imaging,,,8352.53054,2395,117.8070000
HD 285507 b,HD 285507,1,1,0,Radial Velocity,6.08810000,,,,45.0293000
HD 285968 b,HD 285968,1,1,0,Radial Velocity,8.78360000,,,450,9.4704500
HD 28678 b,HD 28678,1,1,0,Radial Velocity,380.20000000,,,,189.9080000
HD 29021 b,HD 29021,1,1,0,Radial Velocity,1362.30000000,,,,30.9939000
HD 290327 b,HD 290327,1,1,0,Radial Velocity,2443.00000000,,,,56.4330000
HD 29399 b,HD 29399,1,1,0,Radial Velocity,892.70000000,,,,44.1518000
HD 2952 b,HD 2952,1,1,0,Radial Velocity,312.08000000,,,,110.1030000
HD 29985 b,HD 29985,1,1,0,Radial Velocity,20608.14049000,,1739.47487,,31.2707000
HD 30177 b,HD 30177,1,2,0,Radial Velocity,2514.53422000,,2670.71210,,55.5867000
HD 30177 c,HD 30177,1,2,0,Radial Velocity,12085.45186000,,1954.64470,,55.5867000
HD 30562 b,HD 30562,1,1,0,Radial Velocity,1157.00000000,,,,26.1597000
HD 30669 b,HD 30669,1,1,0,Radial Velocity,1684.00000000,,,,58.0844000
HD 30856 b,HD 30856,2,1,0,Radial Velocity,847.00000000,,,,131.1990000
HD 31253 b,HD 31253,1,1,0,Radial Velocity,466.00000000,,,,58.1438000
HD 31527 b,HD 31527,1,3,0,Radial Velocity,16.55350000,,,,38.4473000
HD 31527 c,HD 31527,1,3,0,Radial Velocity,51.20530000,,,,38.4473000
HD 31527 d,HD 31527,1,3,0,Radial Velocity,271.67370000,,,,38.4473000
HD 3167 b,HD 3167,1,4,0,Transit,0.95964100,1.670,4.97000,1774,47.2899000
HD 3167 c,HD 3167,1,4,0,Transit,29.84540000,3.000,11.13000,564,47.2899000
HD 3167 d,HD 3167,1,4,0,Radial Velocity,8.41120000,,,,47.2899000
HD 3167 e,HD 3167,1,4,0,Radial Velocity,96.63000000,,,,47.2899000
HD 32518 b,HD 32518,1,1,0,Radial Velocity,157.35000000,,,,122.1150000
HD 32963 b,HD 32963,1,1,0,Radial Velocity,2372.00000000,,,,38.0786000
HD 330075 b,HD 330075,1,1,0,Radial Velocity,3.38773000,,,,45.2989000
HD 331093 b,HD 331093,1,1,0,Radial Velocity,621.62000000,,,,50.1928000
HD 33142 b,HD 33142,1,3,0,Radial Velocity,330.00000000,,,,121.3750000
HD 33142 c,HD 33142,1,3,0,Radial Velocity,810.20000000,,,,121.3750000
HD 33142 d,HD 33142,1,3,0,Radial Velocity,89.90000000,,,,121.3750000
HD 332231 b,HD 332231,1,1,0,Transit,18.71202400,9.073,74.10000,798,80.6665000
HD 33283 b,HD 33283,2,1,0,Radial Velocity,18.19910000,,,,89.8623000
HD 33564 b,HD 33564,1,1,0,Radial Velocity,388.00000000,,,,20.9531000
HD 33844 b,HD 33844,1,2,0,Radial Velocity,551.40002000,,,,105.7790000
HD 33844 c,HD 33844,1,2,0,Radial Velocity,916.00000000,,,,105.7790000
HD 34445 b,HD 34445,1,6,0,Radial Velocity,1049.00000000,,,,46.0907000
HD 34445 c,HD 34445,1,6,0,Radial Velocity,214.67000000,,,,46.0907000
HD 34445 d,HD 34445,1,6,0,Radial Velocity,117.87000000,,,,46.0907000
HD 34445 e,HD 34445,1,6,0,Radial Velocity,49.17500000,,,,46.0907000
HD 34445 f,HD 34445,1,6,0,Radial Velocity,676.80000000,,,,46.0907000
HD 34445 g,HD 34445,1,6,0,Radial Velocity,5700.00000000,,,,46.0907000
HD 35759 b,HD 35759,1,1,0,Radial Velocity,82.46700000,,,,71.2423000
HD 360 b,HD 360,1,1,0,Radial Velocity,273.10000000,,,,111.5420000
HD 36384 b,HD 36384,1,1,0,Radial Velocity,490.00000000,,,,209.3090000
HD 3651 b,HD 3651,1,1,0,Radial Velocity,62.25000000,,,,11.1336000
HD 37124 b,HD 37124,1,3,0,Radial Velocity,154.37800000,,,,31.6634000
HD 37124 c,HD 37124,1,3,0,Radial Velocity,885.50000000,,,,31.6634000
HD 37124 d,HD 37124,1,3,0,Radial Velocity,1862.00000000,,,,31.6634000
HD 37605 b,HD 37605,1,2,0,Radial Velocity,55.01292000,,,,46.7864000
HD 37605 c,HD 37605,1,2,0,Radial Velocity,2720.00000000,,,,46.7864000
HD 3765 b,HD 3765,1,1,0,Radial Velocity,1211.00000000,,,,17.9260000
HD 38283 b,HD 38283,1,1,0,Radial Velocity,363.20001000,,,,38.0615000
HD 38529 b,HD 38529,2,2,0,Radial Velocity,14.30990000,,,,42.3538000
HD 38529 c,HD 38529,2,2,0,Radial Velocity,2127.60566000,,3299.05886,,42.3538000
HD 38801 b,HD 38801,1,1,0,Radial Velocity,685.25000000,,,,91.4349000
HD 39091 b,HD 39091,1,3,0,Radial Velocity,2088.75851000,,3917.23512,,18.2702000
HD 39194 b,HD 39194,1,3,0,Radial Velocity,5.63680000,,,,26.4131000
HD 39194 c,HD 39194,1,3,0,Radial Velocity,14.03000000,,,,26.4131000
HD 39194 d,HD 39194,1,3,0,Radial Velocity,33.91000000,,,,26.4131000
HD 39855 b,HD 39855,1,1,0,Radial Velocity,3.24980000,,,,23.2599000
HD 40307 b,HD 40307,1,5,0,Radial Velocity,4.31230000,,,,12.9363000
HD 40307 c,HD 40307,1,5,0,Radial Velocity,9.61840000,,,,12.9363000
HD 40307 d,HD 40307,1,5,0,Radial Velocity,20.43200000,,,,12.9363000
HD 40307 f,HD 40307,1,5,0,Radial Velocity,51.76000000,,,,12.9363000
HD 40956 b,HD 40956,1,1,0,Radial Velocity,578.60000000,,,,116.5930000
HD 40979 b,HD 40979,3,1,0,Radial Velocity,264.14999000,,,,34.0883000
HD 41004 A b,HD 41004 A,2,2,0,Radial Velocity,963.00000000,,,,36.6911700
HD 41004 B b,HD 41004 B,2,2,0,Radial Velocity,1.32830000,,,,41.5504000
HD 4113 b,HD 4113,3,1,0,Radial Velocity,526.52390000,,,,41.8727000
HD 42012 b,HD 42012,1,1,0,Radial Velocity,857.50000000,,,,36.7984000
HD 4203 b,HD 4203,1,2,0,Radial Velocity,431.88000000,,,,81.3795000
HD 4203 c,HD 4203,1,2,0,Radial Velocity,6700.00000000,,,,81.3795000
HD 4208 b,HD 4208,1,1,0,Radial Velocity,832.97000000,,,,34.1937000
HD 42618 b,HD 42618,1,1,0,Radial Velocity,149.61000000,,,337,24.3358000
HD 42813 b,HD 42813,1,3,0,Transit,13.63082050,3.410,9.10000,716,68.1920000
HD 4308 b,HD 4308,1,1,0,Radial Velocity,15.56000000,,,,22.0158000
HD 4313 b,HD 4313,1,1,0,Radial Velocity,356.21000000,,,,136.3080000
HD 43197 b,HD 43197,1,2,0,Radial Velocity,308.92072000,,,,62.4112000
HD 43197 c,HD 43197,1,2,0,Radial Velocity,9295.97350000,,2500.67391,,62.4112000
HD 43691 b,HD 43691,3,1,0,Radial Velocity,36.99870000,,,,85.6009000
HD 44219 b,HD 44219,1,1,0,Radial Velocity,472.00000000,,184.34048,,52.9051000
HD 45184 b,HD 45184,1,2,0,Radial Velocity,5.88540000,,,,21.9532000
HD 45184 c,HD 45184,1,2,0,Radial Velocity,13.13540000,,,,21.9532000
HD 45350 b,HD 45350,1,1,0,Radial Velocity,963.60000000,,,,46.8733000
HD 45364 b,HD 45364,1,2,0,Radial Velocity,225.79000000,,,,34.3540000
HD 45364 c,HD 45364,1,2,0,Radial Velocity,345.43000000,,,,34.3540000
HD 45652 b,HD 45652,1,1,0,Radial Velocity,44.07300000,,,,34.8541000
HD 457 b,HD 457,1,1,0,Radial Velocity,20324.58153000,,8445.33643,,55.0375000
HD 46375 b,HD 46375,2,1,0,Radial Velocity,3.02357300,,,,29.5529000
HD 47186 b,HD 47186,1,2,0,Radial Velocity,4.08450000,,,,37.4574000
HD 47186 c,HD 47186,1,2,0,Radial Velocity,1353.60000000,,,,37.4574000
HD 4732 b,HD 4732,2,2,0,Radial Velocity,371.74000000,,,,54.7841000
HD 4732 c,HD 4732,2,2,0,Radial Velocity,3184.20000000,,,,54.7841000
HD 47366 b,HD 47366,1,2,0,Radial Velocity,360.08000000,,,,84.3552000
HD 47366 c,HD 47366,1,2,0,Radial Velocity,677.53000000,,,,84.3552000
HD 47536 b,HD 47536,1,1,0,Radial Velocity,712.13000000,,,,122.5360000
HD 4760 b,HD 4760,1,1,0,Radial Velocity,434.00000000,,,,537.8730000
HD 48265 b,HD 48265,1,1,0,Radial Velocity,778.51000000,,,,90.5446000
HD 48948 b,HD 48948,1,3,0,Radial Velocity,7.34013000,,,957,16.9043000
HD 48948 c,HD 48948,1,3,0,Radial Velocity,38.06000000,,,553,16.9043000
HD 48948 d,HD 48948,1,3,0,Radial Velocity,151.92000000,,,349,16.9043000
HD 4917 b,HD 4917,1,1,0,Radial Velocity,400.50000000,,,,204.2770000
HD 49674 b,HD 49674,1,1,0,Radial Velocity,4.94737000,,,,43.0399000
HD 50499 b,HD 50499,1,2,0,Radial Velocity,2447.10000000,,,,46.2845000
HD 50499 c,HD 50499,1,2,0,Radial Velocity,8619.90000000,,,,46.2845000
HD 50554 b,HD 50554,1,1,0,Radial Velocity,1293.00000000,,,,31.1664000
HD 51608 b,HD 51608,1,2,0,Radial Velocity,14.07260000,,,,35.0553000
HD 51608 c,HD 51608,1,2,0,Radial Velocity,95.94460000,,,,35.0553000
HD 52265 b,HD 52265,1,1,0,Radial Velocity,119.27000000,,,,29.9803000
HD 5278 b,HD 5278,1,2,0,Transit,14.33915600,2.450,7.80000,943,57.5846000
HD 5278 c,HD 5278,1,2,0,Radial Velocity,40.87000000,,,,57.5846000
HD 5319 b,HD 5319,1,2,0,Radial Velocity,637.10000000,,,,121.4050000
HD 5319 c,HD 5319,1,2,0,Radial Velocity,872.20000000,,,,121.4050000
HD 55696 b,HD 55696,1,1,0,Radial Velocity,1827.00000000,,,,77.9693000
HD 5583 b,HD 5583,1,1,0,Radial Velocity,139.35000000,,,,219.2160000
HD 5608 b,HD 5608,2,1,0,Radial Velocity,768.70000000,,,,58.1105000
HD 564 b,HD 564,1,1,0,Radial Velocity,492.30000000,,,,51.1659000
HD 56414 b,HD 56414,1,1,0,Transit,29.04992000,3.710,,1133,272.2170000
HD 56957 b,HD 56957,1,1,0,Radial Velocity,5859.08992000,,1880.90851,,61.4925000
HD 5891 b,HD 5891,1,1,0,Radial Velocity,177.11000000,,,,283.5020000
HD 59686 A b,HD 59686 A,2,1,0,Radial Velocity,299.36000000,,,,89.2721000
HD 60292 b,HD 60292,1,1,0,Radial Velocity,495.40000000,,,,315.2110000
HD 60532 b,HD 60532,1,2,0,Radial Velocity,201.90000000,,,,25.9716000
HD 60532 c,HD 60532,1,2,0,Radial Velocity,600.10000000,,,,25.9716000
HD 6061 b,HD 6061,2,1,0,Transit,5.25490000,2.428,10.00000,1075,67.6203000
HD 62364 b,HD 62364,1,2,0,Radial Velocity,5138.00000000,,5965.63920,,53.1120000
HD 62509 b,HD 62509,1,1,0,Radial Velocity,589.64000000,,,,
HD 62549 b,HD 62549,1,1,0,Radial Velocity,14306.88519000,,2707.58020,,49.3305000
HD 63433 b,HD 63433,1,3,0,Transit,7.10793840,2.164,37.30000,886,22.4035000
HD 63433 c,HD 63433,1,3,0,Transit,20.54384700,2.582,17.20000,622,22.4035000
HD 63433 d,HD 63433,1,3,0,Transit,4.20907500,1.073,,1040,22.4035000
HD 63454 b,HD 63454,1,1,0,Radial Velocity,2.81805000,,,,37.6894000
HD 63765 b,HD 63765,1,1,0,Radial Velocity,358.00000000,,,,32.5376000
HD 63935 b,HD 63935,1,2,0,Transit,9.05880700,2.916,10.50000,825,48.9739000
HD 63935 c,HD 63935,1,2,0,Radial Velocity,21.40270000,3.065,11.10000,620,48.9739000
HD 64114 b,HD 64114,1,1,0,Radial Velocity,45.79100000,,,,31.5262000
HD 64121 b,HD 64121,1,1,0,Radial Velocity,623.00000000,,,,129.9660000
HD 6434 b,HD 6434,1,1,0,Radial Velocity,21.99800000,,,,42.3580000
HD 65216 b,HD 65216,3,2,0,Radial Velocity,577.60000000,,,,35.1205000
HD 65216 c,HD 65216,3,2,0,Radial Velocity,5370.00000000,,,,35.1205000
HD 66141 b,HD 66141,1,1,0,Radial Velocity,480.50000000,,,,68.1509000
HD 66428 b,HD 66428,1,2,0,Radial Velocity,2269.81726000,,3478.94974,,53.2817000
